number,values0,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16219692,2981325191662,149811847101739918524603074,179765246450053705933358,49753542730360,299470579545,42256392553951116624718,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16693207875853529503168,1185215639716509143580
16219992,2973181453430,149485706682724519024114598,179765246450053705933358,49439030986855,300684253336,42352128061736725611290,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16663737509543948704099,1177607740166958564296
16220292,2962676693867,149094598966520924361744588,179765246450053705933358,49291905591096,300060276269,42566534060711992911018,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16566000052124673319737,1172062712444206844563
16220592,2964643894300,148840204556065117130298832,179765246450053705933358,49777827051630,300210276269,42131138363860951618514,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16558494037809626274964,1174933199731872281897
16220892,2959372126343,148798590009661874704428349,179765246450053705933358,49405133456675,301364391973,42286888195214521637129,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16528314400239203240814,1170785568425559750787
16221192,2961730632900,148799780629119479402996505,179765777518119502469715,49741171507716,300547330964,42116427892448215965744,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16535225227975714732340,1173083435480830734198
16221492,2968720148494,149047880679691780905560223,179765777518119502469715,49850825592152,300098803377,42086485199811301918651,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16585442753199210190964,1177840213498063934277
16221792,2954204593741,148773499312324297401401708,179765777518119502469715,49032516172194,301292949516,42617893077140655719966,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16469455181808490862669,1168790410585705915776
16222092,2946763813856,149193381837064966031429064,181120852759735344294944,49845729627294,304252857907,42460421715649697886460,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16383618058920566968624,1166126535797265150481
16222392,2952502220008,149426994891507546333472675,181084980347786043283864,50042701067545,303607880849,42358222505261645263649,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16426398144762543674157,1169878913018753271030
16222692,2963095916648,149533412434211536345395651,181084980347786043283864,50291792267837,303589373928,42149858629126268603922,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16455967454679215722406,1180418429699499650921
